id,niche,naics,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,notes
46,Mosquito & bird control services,561710,"18,490 companies verified active (NAICS 561710, all pest control)",2025,https://siccode.com/naics-code/561710/exterminating-pest-control-services,unverified,unverified,"Whole NAICS 561710 (exterminating & pest control); mosquito/bird subset not broken out. Other figures: 2020 Census 13,498 businesses / 15,802 establishments (naics.com https://www.naics.com/naics-code-description/?code=561710, attribution among result set); IBISWorld 34,076 businesses 2026 (https://www.ibisworld.com/united-states/number-of-businesses/pest-control/1495/)."
63,Private investigators,561611,"5,357 companies verified active (NAICS 561611)",unverified,https://siccode.com/naics-code/561611/investigation-services,unverified,unverified,"An earlier result set for the same code returned 10,290 establishments with unclear attribution (census.gov/naics.com); siccode figure used as primary. IBISWorld 2022 via gitnux: 85% of PI agencies employ <10 people (https://gitnux.org/private-investigator-industry-statistics/), not a Census <20-employee share."
72,Tax preparation offices,541213,"33,431 companies verified active (NAICS 541213)",unverified,https://siccode.com/naics-code/541213/tax-preparation-services,unverified,unverified,"Employment 184,480 (same source). IBISWorld counts 127,121 tax preparation businesses in 2026 incl. nonemployers (https://www.ibisworld.com/united-states/number-of-businesses/tax-preparation-services/1399/)."
79,Title & escrow agencies,541191,"8,286 companies verified active (NAICS 541191)",unverified,https://siccode.com/naics-code/541191/title-abstract-settlement-offices,unverified,unverified,"Employment 65,200 (same source). IBISWorld Title Insurance counts 1,027 businesses 2025 (underwriters+agents; https://www.ibisworld.com/united-states/number-of-businesses/title-insurance/4784/)."
86,Independent tire shops,441320,"23,069 companies verified active (NAICS 441320)",2021,https://siccode.com/naics-code/441320/tire-dealers-2,unverified,unverified,"IBISWorld Tire Dealers: 26,719 businesses 2026 and 'large number of non-employers and small enterprises with less than five employees' (https://www.ibisworld.com/united-states/industry/tire-dealers/1013/)."
94,Courier & last-mile delivery companies,492210,"5,362 establishments / 4,786 businesses (NAICS 492210, 2020 Census)",2020,https://www.naics.com/naics-code-description/?code=492210,unverified,unverified,"Attribution of the 2020 figure among the result set (naics.com/naicslist). siccode lists only 671 verified active companies for this code (https://siccode.com/naics-code/492210/local-messengers-local-delivery), likely partial. IBISWorld Couriers & Local Delivery counts 3m businesses 2026 incl. gig drivers (https://www.ibisworld.com/united-states/number-of-businesses/couriers-local-delivery-services/1950/)."
102,Boat dealers & marinas,441222,"7,896 companies verified active (NAICS 441222 boat dealers)",unverified,https://siccode.com/naics-code/441222/boat-dealers,unverified,unverified,"Boat dealers only; marinas are NAICS 713930. 2020 Census: 3,548 businesses / 4,253 establishments (attribution among result set, naicslist/naics.com). Employment 34,393."
109,Independent hardware stores,444130,"over 15,000 companies (NAICS 444130)",unverified,https://www.insurancexdate.com/naics/444130,unverified,unverified,"Only a rounded figure appeared in results; census profile page https://data.census.gov/profile/444130_-_Hardware_stores?n=444130 showed no number in the snippet. Ace Hardware alone has 5,300+ locally-owned stores (https://hbsdealer.com/news/ace-doubles-down-on-pos-partnership)."
116,Independent pharmacies,446110,"18,960 independent community pharmacies",2025,https://ncpa.org/newsroom/news-releases/2025/10/19/ncpa-releases-2025-digest-report,unverified,unverified,"NCPA Digest 2025: 18,960 as of July 2025, down from 18,984 June 2024; ~36% of all US retail pharmacies; $103B market 2024 (attribution among result set incl. hmenews). NAICS 446110 census profile showed no number."
123,Pet grooming salons & mobile groomers,812910,"32,943 companies verified active (NAICS 812910 pet care ex-vet)",unverified,https://siccode.com/naics-code/812910/pet-care,unverified,unverified,"Whole NAICS 812910 (boarding, grooming, sitting, training); grooming-only subset not broken out. Employment 113,907."
130,Massage therapy practices,812199,"41,008 verified business locations (NAICS 812199 other personal care)",unverified,https://siccode.com/naics-code/812199/personal-care-services,unverified,unverified,"Whole NAICS 812199 incl. day spas, tattoo, tanning. IBISWorld Massage Services counts 193,535 businesses 2025 / ~194k 2026 incl. sole practitioners (https://www.ibisworld.com/united-states/number-of-businesses/massage-services/6028/)."
138,Adult day care centers,624120,"3,100 adult day services centers",2022,https://cdc.gov/nchs/fastats/adsc.htm,unverified,unverified,"CDC NCHS fastats. NADSA counted 5,685 programs in 2014 (https://www.nadsa.org/about/about-adult-day-services/, attribution among result set). NAICS 624120 whole code: 6,392 companies verified active (https://siccode.com/naics-code/624120/services-elderly-persons-disabilities)."
145,Music schools & private music teachers,611610,"17,704 companies verified active (NAICS 611610 fine arts schools)",unverified,https://siccode.com/naics-code/611610/fine-arts-schools,unverified,unverified,"Whole fine-arts code (music, dance, art, drama). IBISWorld Fine Arts Schools 16,843 businesses (https://www.ibisworld.com/industry-statistics/market-size/fine-arts-schools-united-states/, attribution among result set); private music teachers as sole proprietors mostly outside these counts."
153,Campgrounds & RV parks,721211,"7,338 companies verified active (NAICS 721211)",unverified,https://siccode.com/naics-code/721211/rv-recreational-vehicle-parks-campgrounds,unverified,unverified,"Employment 22,351. RVParkIQ: >16,200 privately owned RV parks, 88% independently owned (https://rvparkiq.com/industry-insights/the-market-size-of-the-u-s-rv-park-campground-industry/, attribution among result set)."
160,Uniform & linen rental services,812331,940 companies verified active (NAICS 812331 linen supply),unverified,https://siccode.com/naics-code/812331/linen-supply,unverified,unverified,"Employment 55,779. TRSA: 200+ operator members account for >90% of commercially laundered linens/uniforms (https://www.trsa.org/about-trsa/). Small niche by count."
