id,niche,naics,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,notes
28,Artificial turf & sports court installers,238990,"37,952 establishments (37,500 businesses)",2020,https://siccode.com/naics-code/238990/specialty-trade-contractors,unverified,unverified,"NAICS 238990 = all other specialty trade contractors; turf/sports-court installers are an unquantified subset. Same page also lists 46,275 companies 'verified active' (undated). No turf-specific US count found."
61,Security guard companies,561612,"5,373 companies verified active (752,130 employees)",unverified,https://siccode.com/naics-code/561612/security-guards-patrol-services,unverified,unverified,siccode 'verified active' count is undated and far below Census-style counts; no Census establishment figure surfaced in results.
69,Light-industrial staffing agencies,561320,"3,615 companies verified active (3,849,377 employees)",unverified,https://siccode.com/naics-code/561320/temporary-help-services,unverified,unverified,NAICS 561320 = all temporary help services; light-industrial agencies are an unquantified subset. Count is undated 'verified active'.
77,Independent insurance agencies,524210,"135,939 establishments (122,552 businesses)",2020,https://siccode.com/naics-code/524210/insurance-agencies-brokerages,unverified,unverified,"NAICS 524210 includes captive and large brokers. Independent P&C agencies: 39,000 in 2024 (down from 40,000 in 2022) per Big I Agency Universe Study https://www.iamagazine.com/news/7-findings-from-the-2024-agency-universe-study/ ; ~30,000 of them earn <$1.25M revenue https://www.insurancebusinessmag.com/us/news/breaking-news/independent-pandc-insurance-agencies-in-the-us--how-are-they-doing-507443.aspx"
84,Mobile auto detailing,811192,"18,520 establishments (15,640 businesses)",2020,https://siccode.com/naics-code/811192/car-washes,unverified,unverified,"NAICS 811192 = car washes incl. detailing and mobile wash; mobile-detailing subset unquantified. IBISWorld 'Car Wash & Auto Detailing' lists 16,879 businesses in 2026 https://www.ibisworld.com/united-states/number-of-businesses/car-wash-auto-detailing/1695/ ; a third-party page cites IBISWorld 57,900 businesses (2024) https://mkm360autoworks.com/auto-detailing-industry-statistics"
92,Freight brokers,488510,"21,832 establishments (15,418 businesses; 301,772 employees)",2020,https://siccode.com/naics-code/488510/freight-transportation-arrangement,unverified,unverified,"NAICS 488510 also includes freight forwarders, customs brokers and marine agents. FMCSA licensed-broker count not found in results."
100,Small 3PL warehouses,493110,"13,780 establishments (6,459 businesses)",2020,https://siccode.com/naics-code/493110/general-warehousing-and-storage,unverified,unverified,"NAICS 493110 = general warehousing incl. captive DCs. 3PL warehousing specifically: 3,000-3,500 providers; ~72,937 '3PL businesses' (IBISWorld 2024) per https://redstagfulfillment.com/how-many-3pls-are-there/"
107,Laundromats,812310,"~29,500 coin laundries (~$5B gross revenue)",unverified,https://laundryassociation.org/for-investors/industry-overview/,unverified,unverified,"CLA page says 'currently'; year not stated. siccode lists only 4,051 companies verified active (41,889 employees) https://siccode.com/naics-code/812310/coin-operated-laundries-drycleaners ; an IBISWorld-derived figure of ~18,375 coin laundries (2025) appears at https://www.presscleaners.com/blog/laundromat-statistics-2025/"
114,Gun shops / FFL dealers (compliance & bound book),451110,"46,072 Type 01 FFL dealers (52,993 in 2021)",2025,https://www.americanrifleman.org/content/number-of-retail-ffls-dwindling/,unverified,unverified,Type 01 count includes gunsmiths and pawnbrokers with dealer licenses. ATF licence statistics page https://www.atf.gov/firearms/federal-firearms-licenses (count not visible in snippet). IBISWorld Gun & Ammunition Stores market $23.5bn 2025 https://www.ibisworld.com/united-states/industry/gun-ammunition-stores/4379/
121,Funeral homes,812210,"15,456 establishments (10,931 businesses)",2020,https://siccode.com/naics-code/812210/funeral-homes-funeral-services,unverified,unverified,"Same page: 15,130 companies verified active, 109,136 employees (undated). NFDA count not found in results."
128,Nail salons,812113,"36,614 verified business locations",unverified,https://siccode.com/naics-code/812113/nail-salons,unverified,unverified,"CA >5,500 and TX >4,000 locations (same page). IBISWorld 'Personal Waxing & Nail Salons' counts 333,791 businesses (includes sole proprietors) per search summary; treat as different scope."
135,Optometry practices,621320,"47,076 verified businesses",unverified,https://siccode.com/naics-code/621320/offices-optometrists,unverified,unverified,"44,912 practicing optometrists in 2024 https://www.rightfitcapital.com/post/private-equity-optometry-practice-buyers-2026 ; 13,000+ eye-care practices (optometry+ophthalmology) https://physiciangrowthpartners.com/white-paper/state-of-eye-care-private-equity-q1-2025/"
143,Martial arts schools,611620,"76,364 martial arts studios (IBISWorld, cited by Gymdesk)",2026,https://gymdesk.com/blog/martial-arts-industry-statistics,unverified,unverified,"IBISWorld count includes sole proprietors. NAICS 611620 (all sports instruction) lists 18,731 companies https://siccode.com/naics-code/611620/sports-recreation-instruction ; '>40,000 schools' per https://en.wikipedia.org/wiki/Martial_arts_school"
151,Golf courses (independent / municipal),713910,"11,513 companies verified active (309,105 employees)",unverified,https://siccode.com/naics-code/713910/golf-courses-country-clubs,unverified,unverified,"~16,000 US golf courses of which ~6,000 municipal or member-equity (NGCOA, cited in ClubCorp 10-K) https://www.sec.gov/Archives/edgar/data/0001515382/000151538213000010/cc-20121225x10k.htm ; NGF golf-management update https://www.ngf.org/short-game/an-update-on-the-golf-management-space/"
158,Wedding & event venues,531120,"~35,829 wedding venues; 71.8% single-owner",2025,https://www.mmcginvest.com/post/the-u-s-wedding-venue-market-a-investment-thesis-for-2026-2030,unverified,unverified,"Count is SmartScrapers/RenTech Digital directory data (https://rentechdigital.com/smartscraper/business-report-details/list-of-wedding-venues-in-united-states), not Census. NAICS 531120 (lessors of nonresidential buildings) is a poor proxy and was not used."
