niche_id,niche,check_signer,public_price_incumbents_count,public_price_urls,gatekeeper_found,gatekeeper_evidence_url,top4_share,concentration_source_url,fragmentation_score,notes
28,Artificial turf & sports court installers,owner-operator (turf installation contractor),3,https://myquoteiq.com/pricing/ ; https://www.arcsite.com/pricing ; https://measuresquare.com/pricing/,no (STC CSTI certification is voluntary; SYNLawn dealer program covers only its dealers; no software mandate found),https://www.syntheticturfcouncil.org/mpage/CSTI ; https://www.synlawn.com/installation/,unverified (no US top-4 figure; 'no company >5%' in AU and in US sports-field construction),https://www.ibisworld.com/australia/industry/artificial-grass-turf-installation/5561/ ; https://www.sec.gov/Archives/edgar/data/0001539551/000121390016016481/fs12016_sportsfieldhold.htm,5,"Score: owner-op +1, public price +1, >=3 public prices +1, no gatekeeper +1, fragmented statement +1. Concentration evidence is non-US (AU) and sports-field-specific (2016 S-1); US landscape-turf concentration unverified."
61,Security guard companies,owner-operator (small guard company owner / operations manager),4,https://www.guardspro.com/pricing ; https://novagems.com/ ; https://safetrac.io/best-security-guard-management-software/ ; https://www.therms.io/best-security-guard-reporting-software/ (Silvertrac $249),"no (state licensing regulates guards, not software; no association/franchisor software mandate found)",unverified,unverified (largest firm Allied Universal 26.1%; top-4 not stated),https://www.buildingsecurity.com/statistics/security-guard-industry/ ; https://www.fortunebusinessinsights.com/private-security-market-108283,4,"Score: owner-op +1, public price +1, >=3 public prices +1, no gatekeeper +1, concentration 0. 'Fragmented' statement exists but Allied Universal alone holds 26.1%, so top-4 <40% is unlikely; point withheld. Gatekeeper conclusion is from absence in results, not a dedicated search."
69,Light-industrial staffing agencies,owner-operator (agency owner / branch manager),3,"https://firsthr.app/compare/hiring/staffing-agency-software (TempWorks $49/user) ; https://www.noon.ai/blog/articles/247-recruiting-agency-software (Ceipal $24, Crelate $85)",no (ASA is a trade association; no software mandate found; franchised staffing brands exist but share not found),unverified,"unverified (national tier 'concentrated', mid-tier 'fragmented')",https://vantainsights.com/insights/staffing-industry-trends ; https://www.ibisworld.com/united-states/industry/office-staffing-temp-agencies/1464/,4,"Score: owner-op +1, public price +1, >=3 public prices +1 (all third-party cited), no gatekeeper +1, concentration 0 (mixed statement). Public prices for the two light-industrial defaults (Avionte, Bullhorn) are not vendor-published."
77,Independent insurance agencies,owner-operator (agency principal),4,"https://www.sonant.ai/blog/agencyzoom-alternative-review (AgencyZoom $149) ; https://www.selecthub.com/insurance-agency-management-systems/hawksoft-vs-nowcerts/ (HawkSoft $250, NowCerts $99) ; https://www.quotesweep.com/blog/ams-comparison-2026 (EZLynx $350)","unverified (carrier/aggregator/cluster requirements not searched; Applied and Vertafore dominate AMS but are vendors, not gatekeepers)",unverified,"unverified (39,000 independent agencies, ~30,000 under $1.25M revenue; no top-4 share)",https://www.iamagazine.com/news/7-findings-from-the-2024-agency-universe-study/,3,"Score: owner-op +1, public price +1, >=3 public prices +1 (mostly third-party cited), gatekeeper 0 (not searched), concentration 0 (no explicit statement). Consolidation via M&A noted by Big I."
84,Mobile auto detailing,owner-operator (detailer / mobile operator),5,"https://www.rebiza.com/resources/compare/urable-vs-orbisx (Urable $45, OrbisX ~$100) ; https://roxohub.com/blog/best-software-mobile-auto-detailers-2026/ (ROXO $39.99) ; https://www.capterra.com/p/10031414/anolla/ ; https://myquoteiq.com/pricing/",no (no franchisor or supplier software mandate found; 'no company >5%'),https://mkm360autoworks.com/auto-detailing-industry-statistics,no single company >5%; largest 50 combined <20%,https://mkm360autoworks.com/auto-detailing-industry-statistics,5,"Score: owner-op +1, public price +1, >=3 public prices +1, no gatekeeper +1, fragmented +1. Concentration figures are for car wash & detailing combined (third-party citing IBISWorld); franchise check not run separately."
92,Freight brokers,owner-operator (brokerage owner / ops manager),4,https://tai-software.com/pricing/ ; https://www.thefreetms.com/pricing ; https://arktms.com/freight-broker-software ; https://www.brokerpro.com/pricing/,unverified (load boards DAT/Truckstop and factoring firms not assessed; no software mandate found),unverified,top-5 ~30% of market; 'moderately fragmented',https://www.mordorintelligence.com/industry-reports/united-states-freight-brokerage-market ; https://www.researchandmarkets.com/report/united-states-freight-brokerage-market,4,"Score: owner-op +1, public price +1, >=3 public prices +1, gatekeeper 0 (not searched), concentration +1 (top-5 ~30% implies top-4 <40%). Top-heavy: C.H. Robinson $11.56B 2025 brokerage revenue https://www.ttnews.com/logistics/freightbrokerage/2026"
100,Small 3PL warehouses,owner-operator (3PL owner / warehouse GM),3,"https://softwareconnect.com/reviews/extensiv-3pl-warehouse-manager/ ($599) ; https://softwareconnect.com/roundups/best-3pl-third-party-logistics-software/ (ShipHero $1,995) ; https://www.fulfill.com/best-wms-for-3pls (Packiyo $699)",unverified (marketplace/carrier integration requirements not searched),unverified,unverified for US; Canada general warehousing 'no company >5%'; global top-5 12-15%,https://www.ibisworld.com/canada/industry/general-warehousing-storage/1224/ ; https://www.imarcgroup.com/warehousing-and-storage-market,4,"Score: owner-op +1, public price +1, >=3 public prices +1 (all third-party cited), gatekeeper 0 (not searched), concentration +1 (non-US statement; weak). 3,000-3,500 US 3PL warehousing providers per https://redstagfulfillment.com/how-many-3pls-are-there/"
107,Laundromats,owner-operator (laundromat owner),3,"https://www.washdryfoldpos.com/best-laundromat-pos-systems-in-2026-compared/ (Cents $89, CleanCloud $99) ; https://www.guideflow.com/blog/laundromat-software (Wash-Dry-Fold ~$85)",no (67% of locations independent; ~80% single-location; no franchisor software mandate found),https://vantainsights.com/insights/laundromat-industry-trends ; https://commercialobserver.com/2026/05/big-shift-in-retail-space-as-institutional-capital-moves-into-laundromats/,top-5 = 32% of revenue (IBISWorld via VantaInsights),https://vantainsights.com/insights/laundromat-industry-trends,5,"Score: owner-op +1, public price +1, >=3 public prices +1, no gatekeeper +1, concentration +1 (top-5 32% => top-4 <40%). Consolidation rising: national chains acquiring regional operators at 4.2%/yr."
114,Gun shops / FFL dealers (compliance & bound book),owner-operator (FFL dealer / store owner),3,https://www.coriolisagency.com/fastbound-vs-orchid-ebound-a-comprehensive-comparison-of-ffl-software-solutions/ (FastBound $9) ; https://orchidadvisors.com/ffl-bound-book-and-4473-software-pricing/ ; https://www.bravostoresystems.com/point-of-sale-for-gun-stores,unverified (ATF Ruling 2016-1 dictates e-bound-book requirements but not vendor; distributor/NSSF requirements not searched),unverified,highly fragmented; no company >5%,https://www.ibisworld.com/united-states/industry/gun-ammunition-stores/4379/,4,"Score: owner-op +1, public price +1, >=3 public prices +1, gatekeeper 0 (not searched; regulator is ATF), fragmented +1. Type 01 FFL count declining (46,072 in 2025)."
121,Funeral homes,owner-operator (funeral director / owner),3,https://osirissoftware.com/faq-items/how-much-does-osiris-cost/ ($79) ; https://www.softwaresuggest.com/crakn ($165/user) ; https://softwarefinder.com/legal/halcyon-death-care-management-solutions ($295),unverified (NFDA/state boards not searched; consolidators SCI and PE platforms own a minority of homes),unverified,"SCI ~16% North America share (2013 10-K); independents 48.6% (2025); 'mature, fragmented, mostly independent'",https://www.sec.gov/Archives/edgar/data/0000089089/000008908914000002/sci-12312013x10k.htm ; https://www.researchandmarkets.com/reports/5638885/the-u-s-funeral-homes-cemeteries-and-crematories ; https://market.us/report/death-care-services-market/,4,"Score: owner-op +1, public price +1, >=3 public prices +1 (two third-party cited), gatekeeper 0 (not searched), fragmented +1. PE-owned Tribute Technology bundles CRaKN and Parting Pro with websites, a soft distribution moat."
