id,niche,naics,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,notes
45,Wildlife removal & nuisance animal control,561710,"18,490 companies verified active (NAICS 561710 pest control incl. wildlife; no wildlife-only count found)",unverified,https://siccode.com/naics-code/561710/exterminating-pest-control-services,unverified,unverified,Count is for the whole pest-control code; attribution among result set (insurancexdate.com/naics/561710 or siccode). Trade body NWCOA (nwcoa.com).
62,Locksmiths,561622,"4,030 establishments (3,952 businesses); also 8,316 active companies per SICCODE; IBISWorld 29,620 businesses (2026)",2020,https://naicslist.com/naics/561622,unverified,unverified,IBISWorld: median shop 1-3 employees (https://www.ibisworld.com/united-states/industry/locksmiths/4833/; attribution among thekeybot.com/ibisworld in result set). SICCODE count: https://siccode.com/naics-code/561622/locksmiths
71,Bookkeeping practices,541219,"45,775 establishments (44,726 businesses); 237,275 employees",2020,https://naicslist.com/naics/541219,unverified,unverified,"NAICS 541219 = Other Accounting Services (bookkeeping, billing, non-CPA accounting). 2016 IBISWorld excerpt: ~85% of enterprises sole proprietors/partnerships with <10% of revenue (https://pdfcoffee.com/payroll-amp-bookkeeping-services-in-the-us-industry-report-from-ibis-world-pdf-free.html) - not an employee-size share."
78,Mortgage brokers,522310,unverified,unverified,unverified,unverified,unverified,"No NAICS 522310 count appeared in results (only '253 companies' from an old database, discarded). IBISWorld Online Mortgage Brokers segment: 934 businesses 2025 (https://www.ibisworld.com/industry-statistics/number-of-businesses/online-mortgage-brokers-united-states); IBISWorld Loan Brokers US market $9.1bn 2026 (https://www.ibisworld.com/united-states/market-size/loan-brokers/1302/)."
85,Auto glass & windshield replacement,811122,"3,360 companies verified active; 30,324 employees",unverified,https://siccode.com/naics-code/811122/automotive-glass-replacement-shops,unverified,unverified,"Attribution among siccode/insurancexdate in result set. Market-research statement: 'highly fragmented with approximately 20,000 competitors' (https://www.researchandmarkets.com/report/automotive-glass-replacement)."
93,Moving companies,484210,"9,114 businesses (IBISWorld Moving Services, NAICS 48421)",2025,https://www.ibisworld.com/united-states/number-of-businesses/moving-services/1154/,unverified,unverified,"SICCODE returned an implausible 260 companies (discarded). Average 6.2 employees per business; ~7,000 FMCSA interstate movers + 18,000+ intrastate operators (https://servicebusinessacademy.org/what-software-do-most-moving-companies-use/)."
101,Motorcycle & powersports dealers,441228,"6,634 establishments (5,952 firms); IBISWorld Motorcycle Sales & Repair: 15,056 dealerships",unverified,https://www.companyinsights.org/naics-codes/l/1010/441228-motorcycle-atv-and-all-other-motor-vehicle-dealers-in-united-states,unverified,unverified,Attribution among companyinsights/realdatasets. IBISWorld figure: https://www.ibisworld.com/united-states/industry/motorcycle-sales-repair/1008/
108,Dry cleaners,812320,"27,649 businesses (IBISWorld Dry Cleaners); 25,272 establishments also appeared (attribution uncertain)",unverified (IBISWorld page dated 2025; CAGR -1.1% 2020-2025),https://www.ibisworld.com/united-states/industry/dry-cleaners/1730/,unverified,unverified,"IBISWorld market $9.6bn 2026. The 25,272 figure surfaced in a NAICS 812320 search whose source among insurancexdate.com/naics/812320 and the Census CBP PDF could not be pinned down."
115,Liquor stores,445310,"44,401 businesses (IBISWorld Beer, Wine & Liquor Stores); 45,776 in the broader retailing report",2026,https://www.ibisworld.com/united-states/number-of-businesses/beer-wine-liquor-stores/1051/,unverified,unverified,Retailing report ($87.2bn): https://www.ibisworld.com/united-states/industry/beer-wine-liquor-retailing/1051/. No Census count appeared in the NAICS 445310 search.
122,Cemeteries & crematories,812220,"8,389 companies verified active; 32,049 employees",unverified,https://siccode.com/naics-code/812220/cemeteries-crematories,unverified,unverified,"Attribution among siccode/insurancexdate. Many operators are municipal, religious or nonprofit; SCI is the corporate leader."
129,Tattoo studios,812199,"24,221 businesses (IBISWorld Tattoo Artists)",2024,https://www.ibisworld.com/united-states/number-of-businesses/tattoo-artists/4404/,unverified,unverified,"Average 1.8 employees per business (IBISWorld, same result set); Zenoti guide cites 23,774 businesses (https://www.zenoti.com/thecheckin/tattoo-shop-management-software-guide). Note NAICS 812199 not searched directly; IBISWorld industry used."
136,Mental health private practices,621330,"187,850 companies verified active; 119,463 employees",unverified,https://siccode.com/naics-code/621330/offices-mental-health-practitioners,unverified,unverified,"Attribution among siccode/insurancexdate. Count includes solo practitioners. IBISWorld Psychologists, Social Workers & Marriage Counselors revenue $35.7bn 2025."
144,Swim schools,611620,"unverified for swim schools; parent NAICS 611620 (sports & recreation instruction): 18,731 companies verified active",unverified,https://siccode.com/naics-code/611620/sports-recreation-instruction,unverified,unverified,"Swim-only count: 'less than 1,000 swim schools' (2017, https://swimswam.com/5-reasons-swim-school-industry-hot/). US Swim School Association: 400+ member schools (https://usswimschools.org/). Goldfish 86 locations (franchisetimes), Aqua-Tots 175+ (entrepreneur.com)."
152,Bowling centers,713950,"2,650 companies verified active; 69,636 employees",unverified,https://siccode.com/naics-code/713950/bowling-centers,unverified,unverified,"Attribution among siccode/insurancexdate. Bowlero is ~6x the next largest operator (Bowlero 10-K, https://www.sec.gov/Archives/edgar/data/1840572/000162828023031928/bowl-20230702.htm)."
159,Photographers & photo booth operators,541921,"10,622 establishments (portrait studios, NAICS 541921); 32,491 employees. IBISWorld Photography: 255k businesses (incl. nonemployers)",2020,https://naicslist.com/naics/541921,unverified,unverified,IBISWorld figure and $16.2bn market: https://www.ibisworld.com/united-states/industry/photography/1443/. Photo booth operators have no NAICS split.
