niche_id,niche,check_signer,public_price_incumbents_count,public_price_urls,gatekeeper_found,gatekeeper_evidence_url,top4_share,concentration_source_url,fragmentation_score,notes
55,Commercial kitchen exhaust hood cleaning,"owner-operator (small hood-cleaning firms, often 1-3 crews; vendors price flat per company with unlimited users)",3,https://www.smartservice.com/pricing ($49.99/mo); https://myquoteiq.com/crm-for-hood-vent-cleaning/ ($29.99/mo); https://www.capterra.com/p/231421/Service-Genius/ ($39/mo third-party),none found,https://www.franchisedirect.com/businessservicesfranchise/hoodz-franchise-08257/ufoc/,unverified,unverified,4,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper (HOODZ franchise ~135 units and IKECA certification do not dictate software; 'not regulated in most states' https://gaolijierobot.com/blogs/news/how-to-start-kitchen-exhaust-cleaning-business-guide-2026). No concentration statement found for hood cleaning specifically (IBISWorld has no dedicated report in results), so 0 there."
64,Court reporting agencies,owner-operator (agency owner/office manager; RB9 sold month-to-month from $250/mo),1,https://www.omti.com/rb/products/pricing-guide.html ($250/mo); https://devel.repagencyworks.com/pricing.html (add-on prices only),none found,https://www.ibisworld.com/united-states/industry/court-reporting-services/6271/,no company >5% (IBISWorld),https://www.ibisworld.com/united-states/industry/court-reporting-services/6271/,4,"+1 owner-operator, +1 one public price (RB9), 0 for three (Acclaim custom quote; RepAgencyWorks base tier not captured), +1 no gatekeeper (no association/franchisor mandate; consolidators Veritext/Esquire/US Legal run own systems), +1 IBISWorld 'highly fragmented, no company >5%'. Third-party reports claim Veritext 14% / Esquire 11% globally (https://www.psmarketresearch.com/market-analysis/us-court-reporting-services-market)."
73,Medical billing companies,"owner-operator (billing company owner; per-provider or per-claim pricing, $235/mo minimums)",4,"https://www.collaboratemd.com/pricing/medical-billing-and-labs/ ($235/mo min); https://ezclaim.com/features-pricing/ ($149/mo third-party); https://www.advancedmd.com/software-pricing/ ($229-$1,070/mo tiers, partly third-party); https://www.tebra.com/pricing ($99/provider/mo Billing Starter via third-party)",none found (no payer/clearinghouse/association software mandate; client practices' EHR choice can constrain billers - unverified),https://practicesuite.com/medical-billing-company/,low market share concentration (IBISWorld Medical Claims Processing Services),https://www.ibisworld.com/united-states/industry/medical-claims-processing-services/4792/,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 IBISWorld low concentration (adjacent industry definition; Medical Billing Services report itself https://www.ibisworld.com/united-states/industry/medical-billing-services/6341/ shows $4.3bn, declining). Caveat: several prices are third-party summaries of vendor pages."
80,Home energy auditors / HERS raters,owner-operator (rating company owner; but software is chosen from a RESNET-accredited list),2,"https://snuggpro.com/pricing (tiers $200-$1,000/mo, attribution uncertain); https://myquoteiq.com/industries/home-energy-audit-software/ ($29.99/mo via QuoteIQ pricing)","found: RESNET accreditation restricts rating software to APEX, Ekotrope, EnergyGauge; Ekotrope runs ~80% of ratings",http://www.resnet.us/professional/programs/energy_rating_software,unverified,unverified,2,"+1 owner-operator, +1 at least one public price, 0 for three (Ekotrope contact-sales; HouseRater contact-sales; EnergyGauge in licensing transition), 0 gatekeeper (RESNET-accredited software list + Ekotrope ~80% share https://www.ekotrope.com/hers-ratings), 0 concentration (no statement about rating companies; 6,600 certified raters https://www.gba.org/resources/professional-accreditation/certified-hers-rater/)."
87,Independent used car dealers,owner-operator (independent lot owner; DMS $60-$199/mo month-to-month),4,https://www.frazer.com/frazer-pricing ($129/mo); https://www.dealercenter.com/pricing/ ($79/mo DMS); https://www.automanager.com/pricing/ ($88/mo DMS); https://www.softwaresuggest.com/wayne-reaves-sw ($79/mo third-party),none found (NIADA has no software mandate; Westlake/DealerCenter lender tie is optional),https://www.marubeni.com/en/brand_media/scope/westlake/,CarMax 15.4% of industry revenue (IBISWorld); market 'highly fragmented' (CarMax 10-K),https://www.sec.gov/Archives/edgar/data/1170010/000117001024000034/kmx-20240229.htm,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 fragmentation statement (IBISWorld CarMax 15.4% https://www.ibisworld.com/united-states/industry/used-car-dealers/1004/; 10-K 'highly fragmented', CarMax ~3.7% of 0-10-yr-old vehicle sales)."
95,School bus contractors,"mixed: small family contractors sign, but school districts often own the routing system and dictate data formats",1,https://www.schoolbusmanager.com/pricing ($99/mo Lite),partial: school districts (the contractors' customers) control routing/data platforms (Transfinder/Edulog/Tyler); no vendor mandate found,https://civiciq.com/blog/school-transportation-software-2026-pricing-vendors-k-12-contract-analysis,20 largest firms ~51% of revenue (Vertical IQ); 'fragmented industry' (STI F-10),https://verticaliq.com/product/school-employee-bus-transportation/,3,"+1 owner-operator (family contractors), +1 one public price (School Bus Manager), 0 three prices (BusBoss quote-only, Bytecurve/Lynx/Edulog/Transfinder quote), 0 gatekeeper (district-controlled systems), +1 concentration ('fragmented industry' https://www.sec.gov/Archives/edgar/data/0001419465/000119312515054206/d875133df10.htm; 20 largest ~51%). Private contractors handle only 38% of student transport (https://www.schoolbusfleet.com/articles/the-state-of-school-bus-contracting-2025-survey-results)."
103,Trailer dealers,owner-operator (trailer dealership owner; flat monthly DMS $387-$500),4,"https://www.trailerops.com/pricing ($500/mo); https://everlogic.com/price/ ($129/license/mo, 3 min); https://www.natda.org/news/why-every-trailer-dealer-needs-a-software-solution (Blackpurl $99/mo NATDA, $408/mo list); https://www.lightspeeddms.com/solutions/pricing/ ($450-$3,000+/mo)","none found (NATDA offers affinity pricing, not a mandate; OEMs not shown to dictate DMS)",https://www.natda.org/news/why-every-trailer-dealer-needs-a-software-solution,no company >5% (IBISWorld Truck Trailer Dealers),https://www.ibisworld.com/united-states/industry/truck-trailer-dealers/5419/,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 IBISWorld 'highly fragmented, no company >5%'. Caveat: IBISWorld report covers truck trailer dealers; light utility/cargo trailer dealers not separately measured."
110,Garden centers & nurseries,owner-operator (independent garden center owner; POS $49-$90/mo),4,https://microbiz.com/microbiz-cloud-pos-pricing/ ($60/mo); https://www.comcash.com/blog/garden-center-pos-systems (Sunfire $49/mo third-party); https://www.lightspeedhq.com/pos/retail/garden-center-pos/ ($89/mo); https://plantingnursery.com/pricing ($30/mo third-party),none found,https://rundoo.ai/industries/lawn-garden/,"top four 60.4% of revenue / 'moderate concentration', largest Tractor Supply (IBISWorld)",https://www.ibisworld.com/united-states/industry/nursery-garden-stores/1037/,4,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, 0 concentration (IBISWorld reports top-4 60.4% and 'moderate' concentration for Nursery & Garden Stores because big-box/Tractor Supply are in the industry definition; the 8,973 independents are still the buyer)."
117,Food trucks,owner-operator (truck owner; $25-$99/mo flat tools),4,https://foodtruckone.com/ ($29/mo); https://www.hubplate.app/blog/best-pos-system-for-food-trucks-in-2026 ($99/mo); https://catermonkey.com/en/prices/ ($63-$247/mo third-party); https://medium.com/@bigfatwriter/7-cool-food-truck-friendly-tools-c42b381cb1e1 (Truckster $25/mo third-party),"none found (commissaries/city permits are compliance gates, not software mandates; Square is default but optional)",https://squareup.com/us/en/restaurants/food-truck,no company >5%; top 50 ~20% of revenue; 91% independently owned,https://www.prweb.com/releases/food_trucks_in_the_us_industry_market_research_report_now_available_from_ibisworld/prweb11580691.htm,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 IBISWorld 'no company >5%' / 91% independent (https://www.b2breviews.com/food-truck-statistics/). Caveat: buyer is very small and churn-prone; POS is dominated by Square/Toast/Clover."
124,Pet boarding & daycare,owner-operator (facility owner; $40-$209/mo per location),4,"https://pawpartner.com/pricing ($44.99-$99.99/mo); https://doggiedashboard.com/ (free / $40/mo); https://www.gingrapp.com/pricing (~$109-$209/mo per location, amounts third-party); https://www.capterra.com/p/92864/PetExec/ ($105/mo third-party)","none for most of the niche (franchisors Dogtopia 200+ and Camp Bow Wow 170+ locations dictate to franchisees only, vs 169k-193k businesses)",https://1851franchise.com/top-pet-boarding-daycare-franchises-2730430,no company >5% (IBISWorld Pet Grooming & Boarding),https://www.ibisworld.com/united-states/industry/pet-grooming-boarding/1735/,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 IBISWorld 'highly fragmented, no company >5%'. Vendor side is consolidating under PE (Togetherwork owns Gingr, PetExec, Revelation Pets)."
131,Veterinary clinics (independent),owner-operator for independents (~70% of practices); corporate groups buy centrally for ~30%,5,https://costbench.com/software/veterinary-software/shepherd/ ($299/mo); https://www.ezyvet.com/pricing/us ($260.50/user/mo); https://www.provet.com/pricing ($99/mo); https://www.daysmart.com/vet/pricing/ ($116/mo); https://www.capterra.com/p/134667/Hippo-Manager/ ($119/vet/mo),"partial: distributor/diagnostics-tied PIMS (Covetrus AVImark/Impromed, IDEXX Cornerstone) held 86% of server-based installs in a 2022 Canadian survey; corporate groups (~30% of practices) mandate PIMS",https://pmc.ncbi.nlm.nih.gov/articles/PMC10727148/,unverified,unverified,3,"+1 owner-operator (AVMA 2025: 93.9% of surveyed owners independent https://www.dvm360.com/view/2025-economic-state-of-the-veterinary-profession-trends-and-opportunities-for-your-practice), +1 public price, +1 three public prices, 0 gatekeeper (IDEXX/Covetrus bundling; corporate ~30% https://privateequityvet.org/vet-list/), 0 concentration (no 'fragmented'/top-4 statement captured for the practice industry)."
139,Small assisted living & group homes,owner-operator (adult family home / small AL operator; $3.99/bed or $49/mo tools),4,"https://al-cloudcare.com/SushooACCPricing.html ($3.99/bed/mo, $50/EIN min); https://afhapp.com/ ($49/mo); https://softwarefinder.com/emr-software/eresidentcare ($99/mo third-party); https://softwarefinder.com/emr-software/alis ($8-$15/resident/mo third-party)",none found (state licensing e.g. WA DSHS sets records rules but no vendor mandate),https://www.dshs.wa.gov/altsa/residential-care-services/information-adult-family-home-providers,fragmented; top 5 ~32% of market,https://www.fortunebusinessinsights.com/assisted-living-market-111474,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 'fragmented, top 5 ~32%' (third-party market report; IBISWorld names Brookdale largest in Retirement Communities https://www.ibisworld.com/united-states/industry/retirement-communities/1599/ without a share figure in results)."
146,Driving schools,owner-operator (driving school owner; $16-$250/mo),4,https://drivescout.com/pricing/ ($250/mo min); https://www.teachworks.com/pricing ($16.49/mo + per lesson); https://www.driversedsolutions.com/pricing.phtml ($6.25/student); https://www.softwaresuggest.com/bookingtimes ($61/mo third-party),none found (state DMV portals such as MA ATLAS and CA TVCC require electronic records/reporting but do not name a vendor),https://www.mass.gov/info-details/professional-driving-schools,no company >5% (IBISWorld Driving Schools),https://www.ibisworld.com/united-states/industry/driving-schools/4995/,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 IBISWorld 'highly fragmented, no company >5%'. State reporting portals are a compliance workflow an agent could own."
154,Bed & breakfasts and small inns,owner-operator (innkeeper; $29-$125/mo),5,https://www.reservationkey.com/pricing ($37/mo); https://eviivo.com/pricing/ ($50/mo); https://www.littlehotelier.com/pricing/ ($29/mo + 1%); https://www.gracesoft.com/pricing ($69/mo); https://www.resnexus.com/Pricing.html ($30/mo third-party),"none found (OTAs are channels, not software mandates; consortia/soft brands are light-touch)",https://www.ibisworld.com/united-states/industry/bed-breakfast-hostel-accommodations/1663/,no company >5%; 50 largest ~15% of revenue,https://www.ibisworld.com/united-states/industry/bed-breakfast-hostel-accommodations/1663/,5,"+1 owner-operator, +1 public price, +1 three public prices, +1 no gatekeeper, +1 IBISWorld 'highly fragmented, no company >5%' (50 largest ~15% https://www.sbdcnet.org/small-business-research-reports/bed-and-breakfast-business/). Caveat: only 4,383 businesses and shrinking pool of independents."
