niche_id,niche,check_signer,public_price_incumbents_count,public_price_urls,gatekeeper_found,gatekeeper_evidence_url,top4_share,concentration_source_url,fragmentation_score,notes
56,Air duct & dryer vent cleaning,owner-operator (single-truck to multi-truck duct cleaners; franchisees of Dryer Vent Wizard/DUCTZ are a minority),4,https://www.workiz.com/pricing-plans/ | https://myquoteiq.com/pricing/ | https://www.servicefusion.com/pricing | https://www.selecthub.com/p/field-service-software/managemart/,no,https://nadca.com/resources,unverified,https://www.datainsightsmarket.com/reports/dryer-vent-cleaning-services-1415095,5,"NADCA sets standards/certification but no software mandate surfaced; franchisors (Neighborly's Dryer Vent Wizard, DUCTZ) exist but the market report calls the landscape fragmented with numerous small local businesses. Concentration +1 rests on a market-report phrase, not a top-4 number."
65,Process servers,owner-operator process serving agency (clients are law firms; NAPPS is a voluntary association),2,https://www.servemanager.com/pricing | https://sourceforge.net/software/product/Process-Servers-Toolbox/,no,https://napps.org/Vendors.aspx,unverified,https://medium.com/@jeffkarotkin/predictions-for-the-process-serving-industry-in-the-united-states-2024-2029-40db577fedc0,4,"Only one vendor-published price (ServeManager); PST price is a third-party listing so the >=3 public prices point is not awarded. Fragmentation statement comes from an industry blog (small private firms, consolidation pressure), not IBISWorld; treat as weak. Court e-filing rules vary by state but do not dictate vendor."
74,Land surveyors,owner-operator licensed surveyor (over 70% of firms under $1M revenue),3,https://getjobbook.com/pricing | https://kudurrustone.com/pricing | https://myquoteiq.com/pricing/,no,https://www.ibisworld.com/united-states/industry/surveying-mapping-services/1407/,no company >5%; top 50 about 33% of revenue,https://www.ibisworld.com/united-states/industry/surveying-mapping-services/1407/,5,"IBISWorld: highly fragmented, no company above 5% share. NSPS/state boards license surveyors but no software mandate surfaced (not searched specifically). Third public price is QuoteIQ (horizontal)."
81,Towing companies,"owner-operator tow company, but motor clubs (AAA, Agero) and insurers set contracted rates and digital-integration requirements",1,https://www.towmarx.com/the-dispatch/towbook-vs-towmarx,yes,https://www.agero.com/service-providers,no company >5%,https://www.ibisworld.com/united-states/industry/automobile-towing/1206/,3,"Gatekeeper found: motor club/insurance digital-integration requirements mandate software adoption and Agero gives its Swoop app free to network providers (cleansavannah/agero results). Towbook's price lists are third-party and conflicting; vendor does not publish a full list, so only TowMarX counts as vendor-public."
88,Car washes,"owner-operator for independents (largest operator under 1% of sites; Mister Car Wash 3-4% share), though PE-backed express chains are consolidating",1,https://www.rinsed.com/pricing,no,https://www.hanafloristpos.com/blog/what-are-floral-wire-service/,top 50 companies about 20% of revenue; largest operator <1% of sites,https://verticaliq.com/product/car-washes/,4,"Gatekeeper evidence URL is a placeholder: no franchisor/association software mandate surfaced for car washes; tunnel-equipment makers (DRB, Sonny's) bundle POS but no result says they dictate it, so the no-gatekeeper point is awarded with caution. Washify's price is third-party, so only Rinsed counts as vendor-public. Concentration URL also https://www.mmcginvest.com/post/the-us-car-wash-industry-in-2026-the-gold-rush-meets-its-ceiling."
96,Limo & black car operators,owner-operator chauffeur/limo company (many 1-2 vehicle operators),1,https://www.limoanywhere.com/pricing/,no,https://www.limoanywhere.com/about-us/,no company >5% (Taxi & Limousine Services),https://www.ibisworld.com/united-states/industry/taxi-limousine-services/1951/,4,"Affiliate networks (GroundLink, Dav El under Marcou, which previously owned Limo Anywhere) route work but no mandate surfaced; NLA not found in results. Moovs price is third-party, so only Limo Anywhere counts as vendor-public."
104,Construction equipment rental yards,owner-operator independent rental yard (about 45% of market value held by local/independent companies),1,https://ezo.io/ezrentout/pricing/,no,https://news.ararental.org/,"top 5 = 22.2% (United Rentals 10.1%, Sunbelt 6.8%, Herc 2.6%, Loxam 1.8%, H&E 0.9%)",https://www.gminsights.com/industry-analysis/construction-equipment-rental-market,4,"ARA is a trade association with no software mandate seen. Quipli's flat fee ($6,000/location/yr) is a third-party figure and Point of Rental is contact-sales, so only EZRentOut counts as vendor-public."
111,Florists,"owner-operator florist (standalone shops about 14,000)",3,https://floranext.com/pricing/ | https://www.hanafloristpos.com/pricing/ | https://theretailexec.com/tools/best-florist-pos-systems/,yes (partial),https://www.hanafloristpos.com/blog/what-are-floral-wire-service/,wire-service market concentrated in FTD and Teleflora; retail florists 'extremely fragmented',https://www.sec.gov/Archives/edgar/data/0001283157/000095013707013779/c18314e10vk.htm,4,"Gatekeeper: FTD/Teleflora wire services bundle POS (Mercury, Dove) and some florists join primarily for the POS/website/processing, so the no-gatekeeper point is withheld. FloristWare and QuickFlora prices are third-party; Floranext and Hana are vendor pages (third counted with third-party caveat)."
118,Caterers,owner-operator caterer (no company >5%; top 50 <15% of revenue),3,https://www.caterzen.com/pricing | https://totalpartyplanner.com/catering-software-pricing/ | https://www.perfectvenue.com/post/total-party-planner-vs-caterease,no,https://www.ibisworld.com/united-states/industry/catering-services/1682/,no company >5%; top 50 <15%,https://www.ibisworld.com/united-states/industry/catering-services/1682/,5,IBISWorld: highly fragmented. Health-department permits apply but no software mandate. Caterease and Better Cater prices are third-party; CaterZen and TPP have vendor pricing pages.
125,Dog training businesses,owner-operator dog trainer (independents dominate local markets); franchisees pay $100-$500/mo for proprietary systems,4,https://pupmanager.com/compare/busypaws | https://heeldash.com/blog/best-dog-trainer-software/ | https://sourceforge.net/software/product/Digiwoof-Clicks/ | https://www.softwareadvice.com/kennel/busypaws-profile/,no (franchisors only for their franchisees),https://www.wagbar.com/dog-training-business-software-complete-guide-to-managing-your-franchise,no provider >8-10% share; Bark Busters about 7-8%,https://www.marketreportsworld.com/market-reports/dog-training-services-market-14722070,5,"Franchisors (Sit Means Sit, Dog Training Elite, Bark Busters) dictate software to franchisees, but results say independents dominate, so the point is awarded. Concentration figures are from market-report sites (attribution within result set uncertain). Only PupManager's price is on a vendor page; the others are third-party."
