niche_id,tool,domain,meta_lookup_url,meta_active_ads,meta_ads_60d,meta_ads_120d,meta_platforms,meta_cta,google_lookup_url,google_advertiser_page_url,google_ad_count,google_formats,google_overlap_90d_pass,linkedin_lookup_url,linkedin_present,linkedin_date_ranges,headcount_bonus,headcount_bonus_evidence_url,direct_response_cta,verified_score,pending_signals,notes
27,QuoteIQ,myquoteiq.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=QuoteIQ&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=myquoteiq.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=QuoteIQ,unverified (host blocked),unverified (host blocked),2,https://myquoteiq.com/about-us/,unverified (host blocked),2,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
27,CoatingOS,coatingos.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=CoatingOS&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=coatingos.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=CoatingOS,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
27,DripJobs,dripjobs.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=DripJobs&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=dripjobs.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=DripJobs,unverified (host blocked),unverified (host blocked),2,https://dripjobs.com/about,unverified (host blocked),2,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
27,Coating Pro Tech,coatingprotech.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Coating%20Pro%20Tech&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=coatingprotech.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Coating%20Pro%20Tech,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
27,Builder Prime,builderprime.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Builder%20Prime&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=builderprime.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Builder%20Prime,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
27,Projul,projul.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Projul&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=projul.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Projul,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
27,floorWIZ,floor-wiz.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=floorWIZ&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=floor-wiz.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=floorWIZ,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
60,EZshred,ezshred.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=EZshred&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=ezshred.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=EZshred,unverified (host blocked),unverified (host blocked),2,https://www.zoominfo.com/c/ezshred-llc/343462932,unverified (host blocked),2,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
60,Q-Shred (ShredMetrics),shredmetrics.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Q-Shred%20%28ShredMetrics%29&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=shredmetrics.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Q-Shred%20%28ShredMetrics%29,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
60,Octopus SaaS,octopussaas.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Octopus%20SaaS&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=octopussaas.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Octopus%20SaaS,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
60,Total Recall (DHS Worldwide),dhsworldwide.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Total%20Recall%20%28DHS%20Worldwide%29&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=dhsworldwide.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Total%20Recall%20%28DHS%20Worldwide%29,unverified (host blocked),unverified (host blocked),2,https://leadiq.com/c/dhs-worldwide-software-solutions---total-recall-software/5a1da0aa2300005a0091bc3c,unverified (host blocked),2,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
60,Smart Service,smartservice.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Smart%20Service&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=smartservice.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Smart%20Service,unverified (host blocked),unverified (host blocked),0,unverified,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Lookup URLs prebuilt; run scraper/ locally to fill counts.
