id,niche,naics,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,notes
27,Epoxy & garage floor coating contractors,238330,"13,108 companies (NAICS 238330 flooring contractors, broader than epoxy)",unverified,https://siccode.com/naics-code/238330/flooring-contractors,unverified,unverified,No epoxy/coating-specific count found in results; siccode figure is the whole flooring-contractor code. A search for concrete-coating contractor counts returned only company sites.
60,Document shredding services,561990,unverified,unverified,unverified,unverified,unverified,"A search summary said the US has 'more than 3,000 professional document shredding companies' but the figure could not be attributed to a specific result URL, so it is recorded as unverified. i-SIGMA states it enforces standards for 'more than 2,000 information destruction providers internationally' (https://isigmaonline.org/). NAICS 561990 is a catch-all code; no shredding-specific establishment count was found."
68,Translation & interpreting agencies,541930,"3,329 companies (36,469 employees)",unverified,https://siccode.com/naics-code/541930/translation-interpretation-services,unverified,unverified,IBISWorld number-of-businesses page exists (https://www.ibisworld.com/united-states/number-of-businesses/translation-services/1446/) but the count was not shown in results.
76,Small residential property managers,531311,"55,347 establishments; 39,462 businesses",2020,https://www.naics.com/naics-code-description/?code=531311,unverified,unverified,Search summary attributed the 2020 Census counts to the naics.com / insurancexdate.com result set; exact page uncertain (alt: https://www.insurancexdate.com/naics/531311). IBISWorld counts 340k businesses in the broader Property Management industry (https://www.ibisworld.com/united-states/industry/property-management/1356/).
83,Auto body & collision repair shops,811121,"33,761 companies",unverified,https://siccode.com/naics-code/811121/automotive-body-paint-interior-repair-maintenance,unverified,unverified,"Trade press states fewer than 30,000 body shops today vs >50,000 in the late 1990s (https://www.collisionrepairmag.com/business/article/15738732/rewards-of-scale-and-collision-industry-market-dynamics)."
90,Appliance repair,811412,"5,380 establishments (2020 Census); 13,535 companies (siccode); 37,769 businesses (IBISWorld-derived, 2025)",2020,https://www.insurancexdate.com/naics/811412,unverified,unverified,"Three conflicting counts: 5,380 (insurancexdate, 2020 Census), 13,535 (https://siccode.com/naics-code/811412/appliance-repair-maintenance), 37,769 businesses / $7.0B 2025 cited via https://bozmanfix.com/appliance-repair-statistics/. IBISWorld says 'the overwhelming majority owner-operated with one or two trucks' (same bozmanfix cite)."
99,Customs brokers,488510,"7,744 companies (NAICS 488510, includes freight forwarders); ~11,000 active licensed customs brokers",unverified,https://siccode.com/naics-code/488510/freight-transportation-arrangement,unverified,unverified,"Licensed-broker count (~11,000; 11,400 individual+corporate licenses per CBP records) from https://customsbrokerindex.com/blog/us-customs-broker-list-find-licensed/. NCBFAA: 1,422+ member companies handle >97% of entries (https://www.ncbfaa.org/about-ncbfaa)."
106,Self-storage facilities,531130,"32,231 companies",unverified,https://www.naics.com/naics-code-description/?code=531130,unverified,unverified,"Search summary attributed 32,231 companies under NAICS 531130 to the naics.com / insurancexdate.com result set (alt: https://www.insurancexdate.com/naics/531130). Facility ownership: ~65% of facilities owned by operators outside the top 100 (https://www.neighbor.com/storage-blog/self-storage-industry-statistics/)."
113,Pawn shops,522298,"4,012 businesses (IBISWorld 2026); 10,300 establishments (2014, CFPB filing); 7,771 store locations (2026)",2026,https://www.ibisworld.com/united-states/number-of-businesses/pawn-shops/4741/,unverified,unverified,"Alternates: 8,270 (2007) to 10,300 (2014) establishments under NAICS 522298 from https://downloads.regulations.gov/CFPB-2016-0025-199366/attachment_1.pdf ; 7,771 store locations and $4.5B 2026 from https://www.halfinterestpawn.com/blog/pawn-shop-statistics-2026 ; 'more than 12,000 pawn locations, majority privately held' also in that result set."
120,Vending machine operators,454210,"14,801 businesses (IBISWorld broad count, 2026); 2,564 (IBISWorld industry-focused)",2026,https://www.ibisworld.com/united-states/number-of-businesses/vending-machine-operators/1113/,unverified,unverified,"Both figures appeared in one search summary drawn from IBISWorld pages; $8.0B market 2026, businesses declining 1.3% CAGR 2021-2026 (https://www.ibisworld.com/united-states/industry/vending-machine-operators/1113/)."
127,Hair salons,812112,"79,472 establishments (2020 Census); 125,440 companies (siccode)",2020,https://www.naics.com/naics-code-description/?v=2022&code=812112,unverified,unverified,Second figure: https://siccode.com/naics-code/812112/beauty-salons. Census profile page also in results: https://data.census.gov/profile/812112_-_Beauty_Salons?n=812112 (count not shown).
134,Physical therapy clinics (independent),621340,"47,101 establishments; 431,257 employees",2020,https://www.naics.com/naics-code-description/?code=621340,unverified,unverified,"NAICS 621340 also covers OT, speech therapy and audiology offices. Five large chains operate 4,949 clinics = 9.7% of industry total (https://www.stifel.com/Newsletters/InvestmentBanking/BAL/Marketing/Healthcare/PhysicalTherapy/2025/PT_MarketOverview072025.pdf)."
142,Dance studios,611610,"14,622 dance studios (IBISWorld 2025); 17,704 companies (siccode NAICS 611610 fine arts schools)",2025,https://www.ibisworld.com/industry-statistics/number-of-businesses/dance-studios-united-states/,unverified,unverified,"IBISWorld: 14,330 in 2024, +2.0%/yr 2020-2025. siccode figure: https://siccode.com/naics-code/611610/fine-arts-schools (covers all fine arts schools)."
150,Tutoring centers,611691,"7,885 companies (138,966 employees)",unverified,https://siccode.com/naics-code/611691/exam-preparation-tutoring,unverified,unverified,57% of tutoring centers in 2022 were single-location firms or small chains (https://gitnux.org/us-tutoring-industry-statistics/).
157,Horse boarding & riding stables,713990,"10,304 horse boarding stables",2025,https://rentechdigital.com/smartscraper/business-report-details/list-of-horse-boarding-stables-in-united-states,unverified,unverified,"Scraped-directory count (as of 2025-10-15, +0.56% vs 2023); same source: 96.12% are single-owner operations (not the <20-employee Census metric). NAICS 713990 is a catch-all; boarding is classified under 115210 per IBISWorld."
