id,niche,naics,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,notes
59,"Environmental testing labs (asbestos, lead, water)",541380,"4,130 active companies (NAICS 541380)",unverified,https://siccode.com/naics-code/541380/testing-laboratories-services,unverified,unverified,"Whole-NAICS count (all testing labs, not only environmental). Employment 137,298 per same result. IBISWorld Laboratory Testing Services market $33.6bn 2025, low concentration (https://www.ibisworld.com/united-states/number-of-businesses/laboratory-testing-services/1408/); count itself not in snippet."
67,Bail bond agencies,812990,"20,886 businesses",2025,https://www.ibisworld.com/united-states/number-of-businesses/bail-bond-services/5002/,unverified,unverified,"IBISWorld Bail Bond Services, +1.4% vs 2024; market $3.5bn 2025 (https://www.ibisworld.com/united-states/market-size/bail-bond-services/5002/). NAICS 812990 whole-code count 18,223 companies (https://siccode.com/naics-code/812990/) covers many other personal services."
75,Real estate appraisers,531320,"43,802 businesses",2024,https://www.ibisworld.com/united-states/number-of-businesses/real-estate-appraisal/1359/,unverified,unverified,"IBISWorld Real Estate Appraisal (+0.6% 2024). NAICS 531320 verified-active companies 5,933, employment 36,098 (https://siccode.com/naics-code/531320/offices-real-estate-appraisers). Market $10.3bn 2026, -4.6% CAGR 2021-26 (https://www.ibisworld.com/industry-statistics/market-size/real-estate-appraisal-united-states/)."
82,Independent auto repair shops,811111,"307,058 businesses",2026,https://www.ibisworld.com/united-states/number-of-businesses/auto-mechanics/1689,unverified,unverified,"IBISWorld Auto Mechanics (+1.2% 2026, CAGR 2.2% 2021-26). NAICS 811111 verified-active companies 97,995 (https://siccode.com/naics-code/811111/automotive-repair); Census 2020 employment 362,616 per same search."
89,Small engine & outdoor power equipment repair,811411,"1,708 establishments (1,689 businesses)",2020,https://naicscode.com/naics/?naics=811411,unverified,unverified,"Census 2020 figures quoted in the NAICS 811411 search result; a second result lists 2,973 verified-active companies (https://siccode.com/naics-code/811411/home-garden-equipment-repair-maintenance). Servicing dealers (NAICS 444210 Lawn & Outdoor Equipment Stores: 6,638 enterprises 2024, https://www.ibisworld.com/united-states/industry/lawn-outdoor-equipment-stores/1036/) are the larger buyer pool for the same software."
98,Charter bus operators,485510,"9,062 businesses (Scheduled & Charter Bus Services)",unverified,https://www.ibisworld.com/united-states/number-of-businesses/scheduled-charter-bus-services/1163/,small companies hold >75.0% of market share (not an employee-size share),https://www.ibisworld.com/united-states/industry/scheduled-charter-bus-services/1163/,"IBISWorld CAGR 5.0% 2020-25; market $6.9bn 2026. NAICS 485510: 4,938 establishments (https://naicscode.com/naics/?naics=485510) and 1,281 verified-active companies, employment 31,942 (https://siccode.com/naics-code/485510/charter-bus-industry)."
105,"Party & event rental companies (tents, bounce houses)",532289,"9,353 businesses",2024,https://www.ibisworld.com/industry-statistics/number-of-businesses/party-supply-rental-united-states/,unverified,unverified,"IBISWorld Party Supply Rental (+1.2% 2024); revenue $8.5bn 2025 per same search. NAICS 532289 whole-code: 7,099 verified-active companies, employment 45,668 (https://siccode.com/naics-code/532289/consumer-goods-rental)."
112,Independent jewelry stores,448310,"74,245 businesses",2025,https://www.ibisworld.com/united-states/number-of-businesses/jewelry-stores/1075/,unverified,unverified,"IBISWorld Jewelry Stores; -3.5% vs 2024, -3.5%/yr 2020-25; 73,980 in 2026 (-0.4%). Includes chains; independents >70% of specialty market per Signet 20-F (2008 data, https://www.sec.gov/Archives/edgar/data/0000832988/000115697308000528/u55510ex15-3.htm)."
119,Retail bakeries,722515,"72,985 establishments (55,670 businesses) NAICS 722515",2020,https://naicscode.com/naics/?naics=722515,unverified,unverified,"NAICS 722515 (snack & nonalcoholic beverage bars) covers bakery cafes that bake on premises plus coffee/ice-cream shops; retail bakeries not baking on premises sit in 445291. IBISWorld Bakery Cafes: 9,112 businesses 2025 (+1.1%), market $17.8bn (https://www.ibisworld.com/united-states/number-of-businesses/bakery-cafes/4319/)."
126,Barber shops,812111,"154,925 businesses",2025,https://www.ibisworld.com/united-states/number-of-businesses/barber-shops/5806/,unverified,unverified,"IBISWorld Barber Shops; market $7.0bn 2025 (https://www.ibisworld.com/industry-statistics/market-size/barber-shops-united-states/). NAICS 812111 verified-active companies 20,938, employment 21,143 (https://siccode.com/naics-code/812111/barber-shops) - the IBISWorld figure includes booth renters/sole proprietors."
