niche_id,niche,tool,domain,niche_landing_url,facebook_page,linkedin_url,pricing_url,starting_price,pricing_model,founded,headcount,headcount_source_url,funding_status,funding_source_url,review_count,review_source_url,trustmrr_url,notes,verification_status
1,Septic system installers,Bella FSM,bellafsm.com,https://www.bellafsm.com/industries/septic-software/scheduling/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,not searched (session search budget exhausted),"Horizontal FSM with septic scheduling landing (pumping routes, service intervals).",search-verified (URL-cited)
1,Septic system installers,PumpDocket,pumpdocket.com,https://www.pumpdocket.com/septic-software,unverified,unverified,https://www.pumpdocket.com/septic-software,$99/mo (1-3 trucks Starter); $230/mo 4-10 trucks; $454/mo 11+ trucks,"self-serve public price, per-truck, unlimited users",unverified,unverified,unverified,unverified,unverified,unverified,https://www.softwareadvice.com/product/538880-PumpDocket/,not searched (session search budget exhausted),"Price figures appeared in search summary for query 'PumpDocket septic software pricing founded'; attribution among result set (softwareadvice product page / https://www.cleansavannah.com/post/best-septic-service-software-2026) uncertain. Dispatch + compliance (trip tickets citing jurisdiction profiles, manifests).",search-verified (URL-cited)
1,Septic system installers,PumperPro,pumperpro.app,https://pumperpro.app/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,not searched (session search budget exhausted),"'Voice-powered job management for pumping pros'; septic pumping + portable sanitation; GPS, routing, tank maintenance records, DOT manifests (per https://zipdo.co/best/septic-business-software/). Pricing not in results.",search-verified (URL-cited)
1,Septic system installers,SepticPro,septicprotools.com,https://septicprotools.com/pricing,unverified,unverified,https://septicprotools.com/pricing,unverified,public pricing page exists (price not in snippet),unverified,unverified,unverified,unverified,unverified,unverified,unverified,not searched (session search budget exhausted),"Positions as pricing/estimating software for septic contractors: site plans, county permit data, field workflows, CRM, estimates, invoices, pumping tools.",search-verified (URL-cited)
1,Septic system installers,ServiceCore,servicecore.com,https://servicecore.com/septic-business-software/,unverified,https://www.linkedin.com/company/servicecore,https://servicecore.com/pricing/,$200/mo per truck (third-party listing; vendor requires demo),"contact-sales (demo; annual contract, per-truck pricing)",2015,163,https://www.cbinsights.com/company/servicecore,"VC (Mainsail Partners, Full In Partners); raised $8.68M-$62.4M per conflicting sources",https://www.crunchbase.com/organization/servicecore,unverified,https://www.capterra.com/p/158918/ServiceCore/,not searched (session search budget exhausted),"Price from https://www.itqlick.com/servicecore/pricing. Built for septic, portable sanitation, dumpster haulers; QuickBooks Online/Desktop integration. Founded-year sources conflict (2015 Denver vs 2017 Lakewood).",search-verified (URL-cited)
1,Septic system installers,ServiceTitan,servicetitan.com,https://www.servicetitan.com/industries/septic-business-software,unverified,unverified,unverified,unverified,contact-sales,unverified,unverified,unverified,public (NASDAQ: TTAN) - not verified in this session's results,unverified,unverified,unverified,not searched (session search budget exhausted),Enterprise incumbent; roundups cite $245-$398 per technician per month for ServiceTitan (seen in summary of gutter software search; attribution uncertain) - recorded here as unverified.,search-verified (URL-cited)
1,Septic system installers,Smart Service,smartservice.com,https://www.smartservice.com/industry/septic-tank-service-software,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,not searched (session search budget exhausted),Horizontal FSM with dedicated septic landing; QuickBooks add-on; dynamic route optimization by neighborhood/service interval; also has garage-door landing.,search-verified (URL-cited)
2,Water well drilling contractors,DrillerDB,drillerdb.com,https://drillerdb.com/,unverified,unverified,https://drillerdb.com/pricing,$99/mo (range $99-$799/mo),self-serve public price; 14-day trial (BoreCast Founding Pro $199/mo),2024,0 (Growjo estimate; employee count grew 200% last year),https://growjo.com/company/DrillerDB,unverified (Crunchbase profile exists),https://www.crunchbase.com/organization/drillerdb,unverified,https://g2.com/sellers/drillerdb,not searched (session search budget exhausted),"Price range from https://mikevidan.com/top-5-softwares-for-well-drilling-businesses-in-2026/; founded year from https://getlatka.com/companies/drillerdb. Chicago IL (https://www.zoominfo.com/c/drillerdb-llc/5000053046). Features: quotes, scheduling, offline field logs, state e-filing of well records, well map, invoicing. Runs the 12,000+ contractor directory.",search-verified (URL-cited)
2,Water well drilling contractors,IKOL,ikol.com,https://ikol.com/industry-well-drilling,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,not searched (session search budget exhausted),Has a well-drilling industry page; no other details surfaced.,search-verified (URL-cited)
2,Water well drilling contractors,Jobber,getjobber.com,https://www.getjobber.com/industries/well-water-services/,unverified,unverified,unverified,$49/mo (1 user); Connect plan $149/mo up to 5 users,self-serve public price; free trial,unverified,unverified,unverified,unverified,unverified,unverified,unverified,not searched (session search budget exhausted),Horizontal FSM with dedicated well-water-services landing. Price from https://projul.com/blog/best-concrete-contractor-software/ (another roundup cites Connect at $119/mo: https://toricentlabs.com/blog/best-painting-contractor-software-2026.html).,search-verified (URL-cited)
